Nation,Year,Pop
Tonga,Year1995,0.0952
U.S. Pacific Islands,Year1995,0.23015
Vanuatu,Year1995,0.17255
Vietnam,Year1995,73.78339
Dominican Republic,Year1995,7.75897
Wake Island,Year1995,
World,Year1995,5697.40615
Ecuador,Year1995,11.26561
El Salvador,Year1995,5.47983
Falkland Islands (Islas Malvinas),Year1995,0.002
French Guiana,Year1995,0.15
Grenada,Year1995,0.09774
Guadeloupe,Year1995,0.42
Greenland,Year1995,0.05619
Guatemala,Year1995,10.02782
Guyana,Year1995,0.76916
Haiti,Year1995,7.5704
Honduras,Year1995,5.55079
Jamaica,Year1995,2.46907
Martinique,Year1995,0.394
Montserrat,Year1995,0.01027
Netherlands Antilles,Year1995,0.19891
Nicaragua,Year1995,4.38462
Panama,Year1995,2.63817
Mexico,Year1995,92.88035
Paraguay,Year1995,4.82556
Peru,Year1995,23.94219
Puerto Rico,Year1995,3.6831
Saint Kitts and Nevis,Year1995,0.04313
Saint Lucia,Year1995,0.1465
Saint Vincent/Grenadines,Year1995,0.10879
Suriname,Year1995,0.40283
Trinidad and Tobago,Year1995,1.26432
Turks and Caicos Islands,Year1995,0.01444
Uruguay,Year1995,3.21926
Saint Pierre and Miquelon,Year1995,0.0064
Venezuela,Year1995,21.549
"Virgin Islands,  U.S.",Year1995,0.10782
"Virgin Islands, British",Year1995,0.01813
Europe,Year1995,569.20044
Albania,Year1995,3.15815
Austria,Year1995,8.04743
Belgium,Year1995,10.15546
Bosnia and Herzegovina,Year1995,3.70896
Bulgaria,Year1995,8.25581
Croatia,Year1995,4.49668
United States,Year1995,266.27839
Cyprus,Year1995,0.84735
Czech Republic,Year1995,10.32383
Denmark,Year1995,5.23261
Faroe Islands,Year1995,0.04354
Finland,Year1995,5.10465
Former Czechoslovakia,Year1995,--
Former Serbia and Montenegro,Year1995,10.39051
Former Yugoslavia,Year1995,--
France,Year1995,58.36558
Germany,Year1995,81.6537
Central & South America,Year1995,390.75665
"Germany, East",Year1995,--
"Germany, West",Year1995,--
Gibraltar,Year1995,0.02677
Greece,Year1995,10.45755
Hungary,Year1995,10.28081
Iceland,Year1995,0.26753
Ireland,Year1995,3.61389
Italy,Year1995,57.29941
Luxembourg,Year1995,0.4097
Macedonia,Year1995,1.95405
Antarctica,Year1995,
Malta,Year1995,0.37689
Montenegro,Year1995,--
Netherlands,Year1995,15.45905
Norway,Year1995,4.3591
Poland,Year1995,38.60064
Portugal,Year1995,10.06554
Romania,Year1995,22.68741
Serbia,Year1995,--
Slovakia,Year1995,5.36159
Slovenia,Year1995,2.00283
Antigua and Barbuda,Year1995,0.06871
Spain,Year1995,39.76471
Sweden,Year1995,8.87789
Switzerland,Year1995,7.18796
Turkey,Year1995,61.94015
United Kingdom,Year1995,58.42269
Eurasia,Year1995,290.85266
Armenia,Year1995,3.06875
Azerbaijan,Year1995,7.55494
Belarus,Year1995,10.20523
Estonia,Year1995,1.44651
North America,Year1996,393.9428
Bermuda,Year1996,0.06087
Argentina,Year1996,35.68296
Former U.S.S.R.,Year1996,--
Georgia,Year1996,4.93457
Kazakhstan,Year1996,15.69609
Kyrgyzstan,Year1996,4.59819
Latvia,Year1996,2.46028
Lithuania,Year1996,3.66832
Moldova,Year1996,4.42212
Russia,Year1996,148.3117
Tajikistan,Year1996,5.76436
Turkmenistan,Year1996,4.14267
Aruba,Year1996,0.08307
Ukraine,Year1996,50.81005
Uzbekistan,Year1996,23.52386
Middle East,Year1996,155.84253
Bahrain,Year1996,0.58639
Iran,Year1996,65.11578
Iraq,Year1996,20.16797
Israel,Year1996,5.51452
Jordan,Year1996,4.28166
Kuwait,Year1996,1.69316
Lebanon,Year1996,3.68504
"Bahamas, The",Year1996,0.26888
Oman,Year1996,2.19966
Palestine,Year1996,--
Qatar,Year1996,0.53602
Saudi Arabia,Year1996,19.29336
Syria,Year1996,14.8437
United Arab Emirates,Year1996,2.59958
Yemen,Year1996,15.32572
Africa,Year1996,730.48755
Algeria,Year1996,28.60404
Angola,Year1996,9.65061
Barbados,Year1996,0.26881
Benin,Year1996,5.82023
Botswana,Year1996,1.52091
Burkina Faso,Year1996,10.22018
Burundi,Year1996,6.20373
Cameroon,Year1996,13.94474
Cape Verde,Year1996,0.3948
Central African Republic,Year1996,3.62161
Chad,Year1996,7.051
Comoros,Year1996,0.51232
Congo (Brazzaville),Year1996,2.73125
Belize,Year1996,0.22297
Congo (Kinshasa),Year1996,47.19667
Cote dIvoire (IvoryCoast),Year1996,15.28145
Djibouti,Year1996,0.56843
Egypt,Year1996,59.75782
Equatorial Guinea,Year1996,0.43842
Eritrea,Year1996,3.73306
Ethiopia,Year1996,57.19265
Gabon,Year1996,1.09771
"Gambia, The",Year1996,1.19258
Ghana,Year1996,18.08539
Bolivia,Year1996,7.5344
Guinea,Year1996,7.70157
Guinea-Bissau,Year1996,1.16626
Kenya,Year1996,27.79029
Lesotho,Year1996,1.86905
Liberia,Year1996,1.93223
Libya,Year1996,4.69528
Madagascar,Year1996,13.94848
Malawi,Year1996,10.52681
Mali,Year1996,9.5158
Mauritania,Year1996,2.27068
Brazil,Year1996,166.08586
Mauritius,Year1996,1.13534
Morocco,Year1996,26.56357
Mozambique,Year1996,16.29834
Namibia,Year1996,1.72432
Niger,Year1996,9.52474
Nigeria,Year1996,112.14902
Reunion,Year1996,0.66
Rwanda,Year1996,6.54646
Saint Helena,Year1996,0.007
Sao Tome and Principe,Year1996,0.12953
Cayman Islands,Year1996,0.03368
Senegal,Year1996,8.59491
Seychelles,Year1996,0.07571
Sierra Leone,Year1996,3.8105
Somalia,Year1996,6.57426
South Africa,Year1996,42.79396
Sudan,Year1996,30.63013
Swaziland,Year1996,1.03245
Tanzania,Year1996,30.39214
Togo,Year1996,4.40207
Tunisia,Year1996,9.10886
Chile,Year1996,14.40541
Uganda,Year1996,21.24872
Western Sahara,Year1996,0.27767
Zambia,Year1996,9.25485
Zimbabwe,Year1996,11.31695
Asia & Oceania,Year1996,3238.06006
Afghanistan,Year1996,19.86465
American Samoa,Year1996,0.05496
Australia,Year1996,18.19585
Bangladesh,Year1996,123.43252
Bhutan,Year1996,0.56533
Colombia,Year1996,37.09791
Brunei,Year1996,0.29557
Burma (Myanmar),Year1996,44.72671
Cambodia,Year1996,11.48458
China,Year1996,1227.88219
Cook Islands,Year1996,0.01818
Fiji,Year1996,0.77889
French Polynesia,Year1996,0.2313
Guam,Year1996,0.14532
Hawaiian Trade Zone,Year1996,--
Hong Kong,Year1996,6.39156
Canada,Year1996,30.02632
Costa Rica,Year1996,3.536
India,Year1996,937.72548
Indonesia,Year1996,202.01216
Japan,Year1996,125.64531
Kiribati,Year1996,0.0779
"Korea, North",Year1996,21.60596
"Korea, South",Year1996,45.46797
Laos,Year1996,4.94763
Macau,Year1996,0.4104
Malaysia,Year1996,20.85669
Maldives,Year1996,0.27053
Cuba,Year1996,10.9117
Mongolia,Year1996,2.49485
Nauru,Year1996,0.00983
Nepal,Year1996,22.50257
New Caledonia,Year1996,0.19553
New Zealand,Year1996,3.69501
Niue,Year1996,0.002
Pakistan,Year1996,137.91117
Papua New Guinea,Year1996,4.33107
Philippines,Year1996,74.33582
Samoa,Year1996,0.17033
Dominica,Year1996,0.071
Singapore,Year1996,3.67228
Solomon Islands,Year1996,0.38649
Sri Lanka,Year1996,18.67967
Taiwan,Year1996,21.45771
Thailand,Year1996,59.67497
Timor-Leste (East Timor),Year1996,--
Tonga,Year1996,0.0962
U.S. Pacific Islands,Year1996,0.23427
Vanuatu,Year1996,0.1761
Vietnam,Year1996,74.94655
Dominican Republic,Year1996,7.89898
Wake Island,Year1996,
World,Year1996,5777.31836
Ecuador,Year1996,11.52648
El Salvador,Year1996,5.56411
Falkland Islands (Islas Malvinas),Year1996,0.002
French Guiana,Year1996,0.15
Grenada,Year1996,0.09865
Guadeloupe,Year1996,0.43
Greenland,Year1996,0.05634
Guatemala,Year1996,10.26795
Guyana,Year1996,0.76889
Haiti,Year1996,7.74067
Honduras,Year1996,5.71284
Jamaica,Year1996,2.50125
Martinique,Year1996,0.399
Montserrat,Year1996,0.00795
Netherlands Antilles,Year1996,0.20124
Nicaragua,Year1996,4.50076
Panama,Year1996,2.68979
Mexico,Year1996,94.39858
Paraguay,Year1996,4.95484
Peru,Year1996,24.40212
Puerto Rico,Year1996,3.72466
Saint Kitts and Nevis,Year1996,0.04358
Saint Lucia,Year1996,0.14817
Saint Vincent/Grenadines,Year1996,0.10877
Suriname,Year1996,0.40761
Trinidad and Tobago,Year1996,1.26246
Turks and Caicos Islands,Year1996,0.01504
Uruguay,Year1996,3.24212
Saint Pierre and Miquelon,Year1996,0.00641
Venezuela,Year1996,21.96076
"Virgin Islands,  U.S.",Year1996,0.10809
"Virgin Islands, British",Year1996,0.01858
Europe,Year1996,571.23256
Albania,Year1996,3.2036
Austria,Year1996,8.06085
Belgium,Year1996,10.17893
Bosnia and Herzegovina,Year1996,3.6085
Bulgaria,Year1996,8.16103
Croatia,Year1996,4.46403
United States,Year1996,269.39428
Cyprus,Year1996,0.8643
Czech Republic,Year1996,10.31182
Denmark,Year1996,5.26208
Faroe Islands,Year1996,0.04359
Finland,Year1996,5.12031
Former Czechoslovakia,Year1996,--
Former Serbia and Montenegro,Year1996,10.45074
Former Yugoslavia,Year1996,--
France,Year1996,58.61602
Germany,Year1996,81.89067
Central & South America,Year1996,397.13002
"Germany, East",Year1996,--
"Germany, West",Year1996,--
Gibraltar,Year1996,0.02678
Greece,Year1996,10.47942
Hungary,Year1996,10.2593
Iceland,Year1996,0.269
Ireland,Year1996,3.63618
Italy,Year1996,57.39232
Luxembourg,Year1996,0.41557
Macedonia,Year1996,1.9711
Antarctica,Year1996,
Malta,Year1996,0.37996
Montenegro,Year1996,--
Netherlands,Year1996,15.52781
Norway,Year1996,4.38128
Poland,Year1996,38.62984
Portugal,Year1996,10.09992
Romania,Year1996,22.62247
Serbia,Year1996,--
Slovakia,Year1996,5.37319
Slovenia,Year1996,2.00743
Antigua and Barbuda,Year1996,0.07006
Spain,Year1996,39.82056
Sweden,Year1996,8.89223
Switzerland,Year1996,7.21214
Turkey,Year1996,63.0178
United Kingdom,Year1996,58.58181
Eurasia,Year1996,290.62283
Armenia,Year1996,3.0634
Azerbaijan,Year1996,7.62844
Belarus,Year1996,10.17097
Estonia,Year1996,1.42783
North America,Year1997,398.97205
Bermuda,Year1997,0.06145
Argentina,Year1997,36.10216
Former U.S.S.R.,Year1997,--
Georgia,Year1997,4.88348
Kazakhstan,Year1997,15.48452
Kyrgyzstan,Year1997,4.66348
Latvia,Year1997,2.43597
Lithuania,Year1997,3.66437
Moldova,Year1997,4.41628
Russia,Year1997,148.06741
Tajikistan,Year1997,5.86469
Turkmenistan,Year1997,4.20061
Aruba,Year1997,0.08621
Ukraine,Year1997,50.36745
Uzbekistan,Year1997,23.95222
Middle East,Year1997,162.21659
Bahrain,Year1997,0.59893
Iran,Year1997,66.04188
Iraq,Year1997,20.78125
Israel,Year1997,5.66009
Jordan,Year1997,4.38525
Kuwait,Year1997,1.76564
Lebanon,Year1997,3.71429
"Bahamas, The",Year1997,0.27256
Oman,Year1997,2.25973
Palestine,Year1997,2.8338
Qatar,Year1997,0.55086
Saudi Arabia,Year1997,19.81838
Syria,Year1997,15.24445
United Arab Emirates,Year1997,2.74633
Yemen,Year1997,15.81571
Africa,Year1997,747.90581
Algeria,Year1997,29.08356
Angola,Year1997,9.85558
Barbados,Year1997,0.27006
Benin,Year1997,6.00623
Botswana,Year1997,1.56319
Burkina Faso,Year1997,10.54257
Burundi,Year1997,6.24364
Cameroon,Year1997,14.29013
Cape Verde,Year1997,0.404
Central African Republic,Year1997,3.70738
Chad,Year1997,7.26171
Comoros,Year1997,0.52812
Congo (Brazzaville),Year1997,2.80247
Belize,Year1997,0.22895
Congo (Kinshasa),Year1997,47.73982
Cote dIvoire (IvoryCoast),Year1997,15.68623
Djibouti,Year1997,0.59249
Egypt,Year1997,61.07191
Equatorial Guinea,Year1997,0.45103
Eritrea,Year1997,3.84158
Ethiopia,Year1997,58.80542
Gabon,Year1997,1.12694
"Gambia, The",Year1997,1.23585
Ghana,Year1997,18.47351
Bolivia,Year1997,7.69515
Guinea,Year1997,7.79106
Guinea-Bissau,Year1997,1.19411
Kenya,Year1997,28.45861
Lesotho,Year1997,1.88354
Liberia,Year1997,2.09745
Libya,Year1997,4.76892
Madagascar,Year1997,14.3766
Malawi,Year1997,10.83884
Mali,Year1997,9.78384
Mauritania,Year1997,2.31522
Brazil,Year1997,168.63874
Mauritius,Year1997,1.14835
Morocco,Year1997,26.96872
Mozambique,Year1997,16.75966
Namibia,Year1997,1.76614
Niger,Year1997,9.8513
Nigeria,Year1997,114.86204
Reunion,Year1997,0.67
Rwanda,Year1997,7.64742
Saint Helena,Year1997,0.00706
Sao Tome and Principe,Year1997,0.13209
Cayman Islands,Year1997,0.03487
Senegal,Year1997,8.80985
Seychelles,Year1997,0.07641
Sierra Leone,Year1997,3.76521
Somalia,Year1997,6.75108
South Africa,Year1997,43.35363
Sudan,Year1997,31.4161
Swaziland,Year1997,1.06106
Tanzania,Year1997,31.09265
Togo,Year1997,4.57245
Tunisia,Year1997,9.23529
Chile,Year1997,14.60109
Uganda,Year1997,21.86101
Western Sahara,Year1997,0.29184
Zambia,Year1997,9.51552
Zimbabwe,Year1997,11.46939
Asia & Oceania,Year1997,3282.33448
Afghanistan,Year1997,20.49022
American Samoa,Year1997,0.05597
Australia,Year1997,18.41526
Bangladesh,Year1997,125.50582
Bhutan,Year1997,0.57484
Colombia,Year1997,37.61994
Brunei,Year1997,0.30311
Burma (Myanmar),Year1997,45.42617
Cambodia,Year1997,11.72171
China,Year1997,1238.12566
Cook Islands,Year1997,0.01787
Fiji,Year1997,0.78561
French Polynesia,Year1997,0.23577
Guam,Year1997,0.1468
Hawaiian Trade Zone,Year1997,--
Hong Kong,Year1997,6.49592
Canada,Year1997,30.3056
Costa Rica,Year1997,3.62532
India,Year1997,954.92605
Indonesia,Year1997,205.27672
Japan,Year1997,125.95649
Kiribati,Year1997,0.07969
"Korea, North",Year1997,21.47045
"Korea, South",Year1997,45.80783
Laos,Year1997,5.0549
Macau,Year1997,0.41699
Malaysia,Year1997,21.40715
Maldives,Year1997,0.27571
Cuba,Year1997,10.95186
Mongolia,Year1997,2.53922
Nauru,Year1997,0.00987
Nepal,Year1997,23.10934
New Caledonia,Year1997,0.19938
New Zealand,Year1997,3.73642
Niue,Year1997,0.002
Pakistan,Year1997,141.4455
Papua New Guinea,Year1997,4.44837
Philippines,Year1997,76.05706
Samoa,Year1997,0.17181
Dominica,Year1997,0.07028
Singapore,Year1997,3.80231
Solomon Islands,Year1997,0.39809
Sri Lanka,Year1997,18.8682
Taiwan,Year1997,21.63853
Thailand,Year1997,60.36736
Timor-Leste (East Timor),Year1997,--
Tonga,Year1997,0.09744
U.S. Pacific Islands,Year1997,0.2384
Vanuatu,Year1997,0.17962
Vietnam,Year1997,76.05286
Dominican Republic,Year1997,8.03994
Wake Island,Year1997,
World,Year1997,5858.37302
Ecuador,Year1997,11.79247
El Salvador,Year1997,5.63681
Falkland Islands (Islas Malvinas),Year1997,0.00243
French Guiana,Year1997,0.16
Grenada,Year1997,0.09957
Guadeloupe,Year1997,0.43
Greenland,Year1997,0.05651
Guatemala,Year1997,10.49612
Guyana,Year1997,0.76841
Haiti,Year1997,7.90968
Honduras,Year1997,5.87503
Jamaica,Year1997,2.53118
Martinique,Year1997,0.403
Montserrat,Year1997,0.00595
Netherlands Antilles,Year1997,0.20354
Nicaragua,Year1997,4.61188
Panama,Year1997,2.74368
Mexico,Year1997,95.89515
Paraguay,Year1997,5.08116
Peru,Year1997,24.84715
Puerto Rico,Year1997,3.75943
Saint Kitts and Nevis,Year1997,0.04407
Saint Lucia,Year1997,0.14971
Saint Vincent/Grenadines,Year1997,0.10861
Suriname,Year1997,0.41339
Trinidad and Tobago,Year1997,1.26015
Turks and Caicos Islands,Year1997,0.01565
Uruguay,Year1997,3.26667
Saint Pierre and Miquelon,Year1997,0.00642
Venezuela,Year1997,22.3618
"Virgin Islands,  U.S.",Year1997,0.10836
"Virgin Islands, British",Year1997,0.01903
Europe,Year1997,573.25103
Albania,Year1997,3.22541
Austria,Year1997,8.06988
Belgium,Year1997,10.19979
Bosnia and Herzegovina,Year1997,3.607
Bulgaria,Year1997,8.06606
Croatia,Year1997,4.44459
United States,Year1997,272.64693
Cyprus,Year1997,0.87985
Czech Republic,Year1997,10.30071
Denmark,Year1997,5.28366
Faroe Islands,Year1997,0.04405
Finland,Year1997,5.13441
Former Czechoslovakia,Year1997,--
Former Serbia and Montenegro,Year1997,10.47286
Former Yugoslavia,Year1997,--
France,Year1997,58.8725
Germany,Year1997,82.01107
Central & South America,Year1997,403.41352
"Germany, East",Year1997,--
"Germany, West",Year1997,--
Gibraltar,Year1997,0.02675
Greece,Year1997,10.50237
Hungary,Year1997,10.22955
Iceland,Year1997,0.27119
Ireland,Year1997,3.68123
Italy,Year1997,57.5052
Luxembourg,Year1997,0.42101
Macedonia,Year1997,1.98486
Antarctica,Year1997,
Malta,Year1997,0.38295
Montenegro,Year1997,--
Netherlands,Year1997,15.60446
Norway,Year1997,4.40567
Poland,Year1997,38.65496
Portugal,Year1997,10.15642
Romania,Year1997,22.55774
Serbia,Year1997,--
Slovakia,Year1997,5.38301
Slovenia,Year1997,2.01161
Antigua and Barbuda,Year1997,0.07145
Spain,Year1997,39.90724
Sweden,Year1997,8.89762
Switzerland,Year1997,7.22506
Turkey,Year1997,64.09769
United Kingdom,Year1997,58.73261
Eurasia,Year1997,290.27955
Armenia,Year1997,3.059
Azerbaijan,Year1997,7.67788
Belarus,Year1997,10.12884
Estonia,Year1997,1.41335
North America,Year1998,403.85585
Bermuda,Year1998,0.06198
Argentina,Year1998,36.51792
Former U.S.S.R.,Year1998,--
Georgia,Year1998,4.8485
Kazakhstan,Year1998,15.2471
Kyrgyzstan,Year1998,4.7299
Latvia,Year1998,2.41317
Lithuania,Year1998,3.66117
Moldova,Year1998,4.41181
Russia,Year1998,147.81335
Tajikistan,Year1998,5.98349
Turkmenistan,Year1998,4.26226
Aruba,Year1998,0.0882
Ukraine,Year1998,49.9372
Uzbekistan,Year1998,24.34233
Middle East,Year1998,165.85793
Bahrain,Year1998,0.61118
Iran,Year1998,66.95374
Iraq,Year1998,21.40271
Israel,Year1998,5.80873
Jordan,Year1998,4.48522
Kuwait,Year1998,1.83621
Lebanon,Year1998,3.74182
"Bahamas, The",Year1998,0.27599
Oman,Year1998,2.31861
Palestine,Year1998,2.92452
Qatar,Year1998,0.57056
Saudi Arabia,Year1998,20.32909
Syria,Year1998,15.64985
United Arab Emirates,Year1998,2.8985
Yemen,Year1998,16.3272
Africa,Year1998,765.93193
Algeria,Year1998,29.53558
Angola,Year1998,10.03917
Barbados,Year1998,0.27129
Benin,Year1998,6.20232
Botswana,Year1998,1.60401
Burkina Faso,Year1998,10.87271
Burundi,Year1998,6.41743
Cameroon,Year1998,14.63798
Cape Verde,Year1998,0.41297
Central African Republic,Year1998,3.79796
Chad,Year1998,7.47932
Comoros,Year1998,0.54444
Congo (Brazzaville),Year1998,2.88
Belize,Year1998,0.23513
Congo (Kinshasa),Year1998,48.75971
Cote dIvoire (IvoryCoast),Year1998,16.04536
Djibouti,Year1998,0.62088
Egypt,Year1998,62.41172
Equatorial Guinea,Year1998,0.46406
Eritrea,Year1998,3.96311
Ethiopia,Year1998,60.4839
Gabon,Year1998,1.15717
"Gambia, The",Year1998,1.27957
Ghana,Year1998,18.88771
Bolivia,Year1998,7.8589
Guinea,Year1998,7.90661
Guinea-Bissau,Year1998,1.22224
Kenya,Year1998,29.12289
Lesotho,Year1998,1.8966
Liberia,Year1998,2.34951
Libya,Year1998,4.8841
Madagascar,Year1998,14.81658
Malawi,Year1998,11.15534
Mali,Year1998,10.04609
Mauritania,Year1998,2.3741
Brazil,Year1998,171.20116
Mauritius,Year1998,1.16066
Morocco,Year1998,27.36105
Mozambique,Year1998,17.22003
Namibia,Year1998,1.80653
Niger,Year1998,10.19566
Nigeria,Year1998,117.59957
Reunion,Year1998,0.68
Rwanda,Year1998,8.04184
Saint Helena,Year1998,0.00712
Sao Tome and Principe,Year1998,0.1348
Cayman Islands,Year1998,0.03606
Senegal,Year1998,9.03714
Seychelles,Year1998,0.07717
Sierra Leone,Year1998,3.74573
Somalia,Year1998,6.9652
South Africa,Year1998,43.96192
Sudan,Year1998,32.36192
Swaziland,Year1998,1.0894
Tanzania,Year1998,31.95096
Togo,Year1998,4.71517
Tunisia,Year1998,9.35274
Chile,Year1998,14.79216
Uganda,Year1998,22.50214
Western Sahara,Year1998,0.30635
Zambia,Year1998,9.78077
Zimbabwe,Year1998,11.60692
Asia & Oceania,Year1998,3325.29036
Afghanistan,Year1998,21.13212
American Samoa,Year1998,0.05693
Australia,Year1998,18.62084
Bangladesh,Year1998,127.66013
Bhutan,Year1998,0.58527
Colombia,Year1998,38.13259
Brunei,Year1998,0.31053
Burma (Myanmar),Year1998,46.11082
Cambodia,Year1998,11.94447
China,Year1998,1247.50222
Cook Islands,Year1998,0.01738
Fiji,Year1998,0.79269
French Polynesia,Year1998,0.24024
Guam,Year1998,0.14972
Hawaiian Trade Zone,Year1998,--
Hong Kong,Year1998,6.54456
Canada,Year1998,30.55166
Costa Rica,Year1998,3.71374
India,Year1998,972.11281
Indonesia,Year1998,208.47748
Japan,Year1998,126.24609
Kiribati,Year1998,0.08153
"Korea, North",Year1998,21.20487
"Korea, South",Year1998,46.15151
Laos,Year1998,5.16765
Macau,Year1998,0.42161
Malaysia,Year1998,21.97723
Maldives,Year1998,0.28118
Cuba,Year1998,10.99853
Mongolia,Year1998,2.58152
Nauru,Year1998,0.00989
Nepal,Year1998,23.70029
New Caledonia,Year1998,0.20324
New Zealand,Year1998,3.76231
Niue,Year1998,0.002
Pakistan,Year1998,144.88529
Papua New Guinea,Year1998,4.5678
Philippines,Year1998,77.74055
Samoa,Year1998,0.17331
Dominica,Year1998,0.07004
Singapore,Year1998,3.90453
Solomon Islands,Year1998,0.40984
Sri Lanka,Year1998,19.05566
Taiwan,Year1998,21.83444
Thailand,Year1998,61.03791
Timor-Leste (East Timor),Year1998,--
Tonga,Year1998,0.09887
U.S. Pacific Islands,Year1998,0.24244
Vanuatu,Year1998,0.18309
Vietnam,Year1998,77.1075
Dominican Republic,Year1998,8.18221
Wake Island,Year1998,
World,Year1998,5935.74132
Ecuador,Year1998,12.05063
El Salvador,Year1998,5.71157
Falkland Islands (Islas Malvinas),Year1998,0.0026
French Guiana,Year1998,0.17
Grenada,Year1998,0.10039
Guadeloupe,Year1998,0.43
Greenland,Year1998,0.05661
Guatemala,Year1998,10.70814
Guyana,Year1998,0.7726
Haiti,Year1998,8.08056
Honduras,Year1998,6.0391
Jamaica,Year1998,2.56043
Martinique,Year1998,0.407
Montserrat,Year1998,0.00338
Netherlands Antilles,Year1998,0.20581
Nicaragua,Year1998,4.71974
Panama,Year1998,2.79723
Mexico,Year1998,97.32506
Paraguay,Year1998,5.20018
Peru,Year1998,25.27571
Puerto Rico,Year1998,3.7811
Saint Kitts and Nevis,Year1998,0.04461
Saint Lucia,Year1998,0.15102
Saint Vincent/Grenadines,Year1998,0.1084
Suriname,Year1998,0.41993
Trinidad and Tobago,Year1998,1.25764
Turks and Caicos Islands,Year1998,0.01627
Uruguay,Year1998,3.28869
Saint Pierre and Miquelon,Year1998,0.00642
Venezuela,Year1998,22.75136
"Virgin Islands,  U.S.",Year1998,0.10854
"Virgin Islands, British",Year1998,0.01948
Europe,Year1998,575.25757
Albania,Year1998,3.21277
Austria,Year1998,8.07862
Belgium,Year1998,10.21703
Bosnia and Herzegovina,Year1998,3.81758
Bulgaria,Year1998,7.97177
Croatia,Year1998,4.42019
United States,Year1998,275.8541
Cyprus,Year1998,0.89373
Czech Republic,Year1998,10.29095
Denmark,Year1998,5.30277
Faroe Islands,Year1998,0.04456
Finland,Year1998,5.14698
Former Czechoslovakia,Year1998,--
Former Serbia and Montenegro,Year1998,10.34279
Former Yugoslavia,Year1998,--
France,Year1998,59.13674
Germany,Year1998,82.02367
Central & South America,Year1998,409.62879
"Germany, East",Year1998,--
"Germany, West",Year1998,--
Gibraltar,Year1998,0.02675
Greece,Year1998,10.52007
Hungary,Year1998,10.2004
Iceland,Year1998,0.274
Ireland,Year1998,3.72801
Italy,Year1998,57.57648
Luxembourg,Year1998,0.4265
Macedonia,Year1998,1.99547
Antarctica,Year1998,
Malta,Year1998,0.38561
Montenegro,Year1998,--
Netherlands,Year1998,15.69926
Norway,Year1998,4.43272
Poland,Year1998,38.66876
Portugal,Year1998,10.22483
Romania,Year1998,22.51138
Serbia,Year1998,--
Slovakia,Year1998,5.39024
Slovenia,Year1998,2.01081
Antigua and Barbuda,Year1998,0.07278
Spain,Year1998,40.0461
Sweden,Year1998,8.90268
Switzerland,Year1998,7.23953
Turkey,Year1998,65.17718
United Kingdom,Year1998,58.92063
Eurasia,Year1998,289.91891
Armenia,Year1998,3.04915
Azerbaijan,Year1998,7.72649
Belarus,Year1998,10.09203
Estonia,Year1998,1.40097
North America,Year1999,408.60296
Bermuda,Year1999,0.06251
Argentina,Year1999,36.92342
Former U.S.S.R.,Year1999,--
Georgia,Year1999,4.81567
Kazakhstan,Year1999,15.08462
Kyrgyzstan,Year1999,4.79657
Latvia,Year1999,2.39366
Lithuania,Year1999,3.65845
Moldova,Year1999,4.40307
Russia,Year1999,147.35217
Tajikistan,Year1999,6.11086
Turkmenistan,Year1999,4.32469
Aruba,Year1999,0.08926
Ukraine,Year1999,49.48506
Uzbekistan,Year1999,24.70155
Middle East,Year1999,169.46952
Bahrain,Year1999,0.62308
Iran,Year1999,67.80393
Iraq,Year1999,22.0356
Israel,Year1999,5.96029
Jordan,Year1999,4.58483
Kuwait,Year1999,1.90567
Lebanon,Year1999,3.76753
"Bahamas, The",Year1999,0.27931
Oman,Year1999,2.37618
Palestine,Year1999,3.01665
Qatar,Year1999,0.59711
Saudi Arabia,Year1999,20.82455
Syria,Year1999,16.05894
United Arab Emirates,Year1999,3.05608
Yemen,Year1999,16.85909
Africa,Year1999,784.59937
Algeria,Year1999,29.97982
Angola,Year1999,10.21544
Barbados,Year1999,0.2725
Benin,Year1999,6.40677
Botswana,Year1999,1.64294
Burkina Faso,Year1999,11.22531
Burundi,Year1999,6.63114
Cameroon,Year1999,14.9885
Cape Verde,Year1999,0.42168
Central African Republic,Year1999,3.88922
Chad,Year1999,7.70874
Comoros,Year1999,0.56126
Congo (Brazzaville),Year1999,2.97232
Belize,Year1999,0.24148
Congo (Kinshasa),Year1999,50.28355
Cote dIvoire (IvoryCoast),Year1999,16.45688
Djibouti,Year1999,0.64626
Egypt,Year1999,63.77347
Equatorial Guinea,Year1999,0.47754
Eritrea,Year1999,4.07957
Ethiopia,Year1999,62.2794
Gabon,Year1999,1.19565
"Gambia, The",Year1999,1.3237
Ghana,Year1999,19.3145
Bolivia,Year1999,8.02556
Guinea,Year1999,8.1544
Guinea-Bissau,Year1999,1.25041
Kenya,Year1999,29.7955
Lesotho,Year1999,1.90767
Liberia,Year1999,2.49539
Libya,Year1999,5.00314
Madagascar,Year1999,15.27126
Malawi,Year1999,11.47685
Mali,Year1999,10.33565
Mauritania,Year1999,2.43691
Brazil,Year1999,173.76387
Mauritius,Year1999,1.17313
Morocco,Year1999,27.74199
Mozambique,Year1999,17.67673
Namibia,Year1999,1.8467
Niger,Year1999,10.56322
Nigeria,Year1999,120.3692
Reunion,Year1999,0.7
Rwanda,Year1999,8.22235
Saint Helena,Year1999,0.00718
Sao Tome and Principe,Year1999,0.13767
Cayman Islands,Year1999,0.03725
Senegal,Year1999,9.25282
